iter,time,freq,theta,wall_position, q1,wallF1,TopWallF1,ball_cg_corrected, ball_centroid,PLL_amp, PLL_phase,q1_ke,ball_ke
8946,3.9924224996929895e-06,2504.890753,0.05657724595680232,1.294911e-07,1.294911e-07,-13.605,4.4895e+05,-5.97296e-07,2.81189545e-06,6.38728e-15,1.51422,0.0001276,1.7516e-06
17892,7.98484499938236e-06,2504.890753,0.1194408525754152,5.174628e-07,5.174628e-07,-14.018,4.4895e+05,-8.42064e-07,2.59774033e-06,5.10483e-14,1.4828,0.00050854,7.1063e-06
26838,1.197726749907173e-05,2504.890753,0.1823044591940247,1.162666e-06,1.162666e-06,-13.755,4.4895e+05,-1.25023e-06,2.23432149e-06,2.10326e-13,1.44948,0.0011384,1.5733e-05
35784,1.59696899987638e-05,2504.890753,0.24516806581265319,2.063107e-06,2.063107e-06,-14.323,4.4895e+05,-1.82146e-06,1.71494881e-06,6.10963e-13,1.41475,0.0020088,2.8116e-05
44730,1.9962112498468325e-05,2504.890753,0.30803167243150137,3.216036e-06,3.216036e-06,-14.036,4.4895e+05,-2.55517e-06,1.03209041e-06,1.42938e-12,1.3791,0.0031101,4.3513e-05
53676,2.395453499817285e-05,2504.890753,0.3708952790503495,4.618059e-06,4.618059e-06,-13.962,4.4895e+05,-3.44864e-06,1.90112704e-07,2.89073e-12,1.34289,0.0044291,6.2178e-05
62622,2.7946957497877375e-05,2504.890753,0.4337588856691977,6.265053e-06,6.265053e-06,-13.439,4.4895e+05,-4.49891e-06,-8.05563158e-07,5.26761e-12,1.30633,0.005951,8.3183e-05
71568,3.193937999757111e-05,2504.890753,0.496622492287922,8.152161e-06,8.152161e-06,-13.7,4.4895e+05,-5.70329e-06,-1.96030836e-06,8.87866e-12,1.26955,0.0076564,0.00010751
80514,3.5931802497245324e-05,2504.890753,0.5594860989062928,1.027381e-05,1.027381e-05,-13.103,4.4895e+05,-7.05918e-06,-3.2756264e-06,1.40868e-11,1.23262,0.0095271,0.00013365
89460,3.992422499691954e-05,2504.890753,0.6223497055246635,1.262385e-05,1.262385e-05,-12.748,4.4895e+05,-8.56154e-06,-4.74114832e-06,2.12973e-11,1.1956,0.011541,0.00016196
98406,4.3916647496593754e-05,2504.890753,0.6852133121430343,1.519543e-05,1.519543e-05,-12.272,4.4895e+05,-1.02057e-05,-6.34909148e-06,3.09554e-11,1.15852,0.013674,0.00019189
107352,4.790906999626797e-05,2504.890753,0.748076918761405,1.798107e-05,1.798107e-05,-11.766,4.4895e+05,-1.19869e-05,-8.10143453e-06,4.35445e-11,1.12142,0.015902,0.00022301
116298,5.1901492495942184e-05,2504.890753,0.8109405253797758,2.097264e-05,2.097264e-05,-11.407,4.4895e+05,-1.39001e-05,-9.98929717e-06,5.95827e-11,1.0843,0.018199,0.00025533
125244,5.58939149956164e-05,2504.890753,0.8738041319981465,2.416144e-05,2.416144e-05,-10.732,4.4895e+05,-1.59395e-05,-1.2007335e-05,7.96207e-11,1.04718,0.020538,0.00028793
134190,5.9886337495290614e-05,2504.890753,0.9366677386165173,2.753821e-05,2.753821e-05,-10.373,4.4895e+05,-1.80995e-05,-1.41518458e-05,1.04239e-10,1.01008,0.022892,0.00032135
143136,6.387875999496483e-05,2504.890753,0.9995313452348881,3.109309e-05,3.109309e-05,-9.7587,4.4895e+05,-2.0374e-05,-1.64167525e-05,1.34043e-10,0.973001,0.025234,0.00035398
152082,6.787118249463904e-05,2504.890753,1.062394951853259,3.481575e-05,3.481575e-05,-9.3708,4.4895e+05,-2.27565e-05,-1.87933018e-05,1.69662e-10,0.93596,0.027536,0.00038668
161028,7.186360499431326e-05,2504.890753,1.1252585584716297,3.869538e-05,3.869538e-05,-8.4931,4.4895e+05,-2.52393e-05,-2.12715431e-05,2.11746e-10,0.898961,0.029773,0.00041764
169974,7.585602749398747e-05,2504.890753,1.1881221650900005,4.272072e-05,4.272072e-05,-7.9852,4.4895e+05,-2.78152e-05,-2.38447226e-05,2.60959e-10,0.862012,0.031917,0.00044784
178920,7.984844999366169e-05,2504.890753,1.2509857717083712,4.68801e-05,4.68801e-05,-7.2499,4.4895e+05,-3.04765e-05,-2.65013827e-05,3.17979e-10,0.825119,0.033945,0.00047624
187866,8.38408724933359e-05,2504.890753,1.313849378326742,5.116145e-05,5.116145e-05,-6.555,4.4895e+05,-3.3216e-05,-2.92331798e-05,3.83491e-10,0.788288,0.035833,0.0005026
196812,8.783329499301012e-05,2504.890753,1.3767129849451127,5.555234e-05,5.555234e-05,-5.9071,4.4895e+05,-3.60256e-05,-3.2035471e-05,4.58185e-10,0.751526,0.037558,0.00052683
205758,9.182571749268433e-05,2504.890753,1.4395765915634835,6.004005e-05,6.004005e-05,-5.1209,4.4895e+05,-3.88969e-05,-3.48973279e-05,5.42754e-10,0.714838,0.039102,0.00054838
214704,9.581813999235855e-05,2504.890753,1.5024401981818543,6.461157e-05,6.461157e-05,-4.5093,4.4895e+05,-4.1822e-05,-3.78138203e-05,6.37887e-10,0.678229,0.040446,0.00056739
223650,9.981056249203276e-05,2504.890753,1.565303804800225,6.925363e-05,6.925363e-05,-3.7371,4.4895e+05,-4.47928e-05,-4.07806115e-05,7.44266e-10,0.641704,0.041574,0.00058337
232596,0.00010380298499170698,2504.890753,1.6281674114185958,7.395279e-05,7.395279e-05,-2.9526,4.4895e+05,-4.78002e-05,-4.37891182e-05,8.62562e-10,0.605269,0.042475,0.00059596
241542,0.0001077954074913812,2504.890753,1.6910310180369665,7.869545e-05,7.869545e-05,-2.2411,4.4895e+05,-5.08356e-05,-4.68287296e-05,9.93434e-10,0.56893,0.043136,0.00060523
250488,0.00011178782999105541,2504.890753,1.7538946246553373,8.346785e-05,8.346785e-05,-1.4849,4.4895e+05,-5.38901e-05,-4.98875399e-05,1.13752e-09,0.53269,0.043551,0.00061111
259434,0.00011578025249072962,2504.890753,1.816758231273708,8.825621e-05,8.825621e-05,-0.68221,4.4895e+05,-5.69549e-05,-5.29581132e-05,1.29544e-09,0.496557,0.043716,0.00061352
268380,0.00011977267499040384,2504.890753,1.8796218378920788,9.304665e-05,9.304665e-05,0.07713,4.4894e+05,-6.00211e-05,-5.60335164e-05,1.46778e-09,0.460533,0.043627,0.00061224
277326,0.00012376509749007807,2504.890753,1.9424854445104498,9.78253e-05,9.78253e-05,0.74372,4.4894e+05,-6.308e-05,-5.9105072e-05,1.65511e-09,0.424626,0.043287,0.00060769
286272,0.00012775751998975228,2504.890753,2.0053490511288206,0.0001025783,0.0001025783,1.5682,4.4894e+05,-6.6123e-05,-6.21634515e-05,1.85795e-09,0.38884,0.042699,0.00059948
295218,0.0001317499424894265,2504.890753,2.0682126577471913,0.000107292,0.000107292,2.2849,4.4894e+05,-6.91412e-05,-6.52002538e-05,2.07681e-09,0.353181,0.04187,0.00058811
304164,0.0001357423649891007,2504.890753,2.131076264365562,0.0001119527,0.0001119527,2.9637,4.4894e+05,-7.21259e-05,-6.82069677e-05,2.31214e-09,0.317653,0.040809,0.00057339
