iter,time,freq,theta,wall_position, q1,wallF1,TopWallF1,ball_cg_corrected, ball_centroid,PLL_amp, PLL_phase,q1_ke,ball_ke
8946,3.9924224996929895e-06,2504.890753,0.05657724595680232,1.295033e-07,1.295033e-07,-13.723,2.7051e+05,-5.10906e-07,3.35146952e-06,6.38788e-15,1.51422,0.00012757,1.7971e-06
17892,7.98484499938236e-06,2504.890753,0.1194408525754152,5.175167e-07,5.175167e-07,-13.554,2.7051e+05,-7.54056e-07,3.14306232e-06,5.10534e-14,1.4828,0.00050872,6.9854e-06
26838,1.197726749907173e-05,2504.890753,0.1823044591940247,1.162753e-06,1.162753e-06,-13.982,2.7051e+05,-1.16063e-06,2.78511932e-06,2.10346e-13,1.44948,0.0011384,1.5669e-05
35784,1.59696899987638e-05,2504.890753,0.24516806581265319,2.063212e-06,2.063212e-06,-14.43,2.7051e+05,-1.72976e-06,2.27479117e-06,6.11014e-13,1.41475,0.0020088,2.809e-05
44730,1.9962112498468325e-05,2504.890753,0.30803167243150137,3.216176e-06,3.216176e-06,-14.11,2.7051e+05,-2.46025e-06,1.61033137e-06,1.42949e-12,1.3791,0.0031101,4.3551e-05
53676,2.395453499817285e-05,2504.890753,0.3708952790503495,4.618173e-06,4.618173e-06,-13.702,2.7051e+05,-3.35153e-06,7.82209583e-07,2.89091e-12,1.34289,0.0044294,6.1487e-05
62622,2.7946957497877375e-05,2504.890753,0.4337588856691977,6.265076e-06,6.265076e-06,-14.119,2.7051e+05,-4.40045e-06,-2.10460013e-07,5.26789e-12,1.30633,0.0059501,8.3243e-05
71568,3.193937999757111e-05,2504.890753,0.496622492287922,8.152041e-06,8.152041e-06,-13.993,2.7051e+05,-5.60406e-06,-1.3614046e-06,8.87904e-12,1.26955,0.0076549,0.00010795
80514,3.5931802497245324e-05,2504.890753,0.5594860989062928,1.027354e-05,1.027354e-05,-12.885,2.7051e+05,-6.95859e-06,-2.66957345e-06,1.40872e-11,1.23263,0.0095258,0.0001334
89460,3.992422499691954e-05,2504.890753,0.6223497055246635,1.262341e-05,1.262341e-05,-12.753,2.7051e+05,-8.45947e-06,-4.12706764e-06,2.12977e-11,1.19561,0.011539,0.00016157
98406,4.3916647496593754e-05,2504.890753,0.6852133121430343,1.519478e-05,1.519478e-05,-12.681,2.7051e+05,-1.01027e-05,-5.7324388e-06,3.09558e-11,1.15853,0.013671,0.00019222
107352,4.790906999626797e-05,2504.890753,0.748076918761405,1.798018e-05,1.798018e-05,-11.967,2.705e+05,-1.18831e-05,-7.48187979e-06,4.35446e-11,1.12142,0.015899,0.00022329
116298,5.1901492495942184e-05,2504.890753,0.8109405253797758,2.097141e-05,2.097141e-05,-11.497,2.705e+05,-1.37966e-05,-9.37384269e-06,5.95825e-11,1.0843,0.018195,0.00025487
125244,5.58939149956164e-05,2504.890753,0.8738041319981465,2.415979e-05,2.415979e-05,-11.247,2.705e+05,-1.58365e-05,-1.13993348e-05,7.96199e-11,1.04719,0.020533,0.00028802
134190,5.9886337495290614e-05,2504.890753,0.9366677386165173,2.753606e-05,2.753606e-05,-10.753,2.705e+05,-1.79969e-05,-1.3544087e-05,1.04237e-10,1.01008,0.022885,0.00032188
143136,6.387875999496483e-05,2504.890753,0.9995313452348881,3.109044e-05,3.109044e-05,-9.6434,2.705e+05,-2.0271e-05,-1.57961842e-05,1.3404e-10,0.973009,0.025227,0.00035397
152082,6.787118249463904e-05,2504.890753,1.062394951853259,3.481261e-05,3.481261e-05,-9.1371,2.705e+05,-2.26523e-05,-1.81580345e-05,1.69657e-10,0.935968,0.02753,0.00038577
161028,7.186360499431326e-05,2504.890753,1.1252585584716297,3.869176e-05,3.869176e-05,-8.6402,2.705e+05,-2.51341e-05,-2.06253624e-05,2.11739e-10,0.89897,0.029766,0.00041752
169974,7.585602749398747e-05,2504.890753,1.1881221650900005,4.271664e-05,4.271664e-05,-8.0788,2.705e+05,-2.77092e-05,-2.31899704e-05,2.60949e-10,0.862022,0.03191,0.00044804
178920,7.984844999366169e-05,2504.890753,1.2509857717083712,4.687557e-05,4.687557e-05,-7.0854,2.705e+05,-3.03698e-05,-2.58398008e-05,3.17964e-10,0.825129,0.033938,0.00047574
187866,8.38408724933359e-05,2504.890753,1.313849378326742,5.115648e-05,5.115648e-05,-6.5331,2.705e+05,-3.31085e-05,-2.85676995e-05,3.83471e-10,0.788299,0.035826,0.00050195
196812,8.783329499301012e-05,2504.890753,1.3767129849451127,5.554694e-05,5.554694e-05,-6.131,2.705e+05,-3.59177e-05,-3.13676627e-05,4.5816e-10,0.751537,0.037551,0.00052716
205758,9.182571749268433e-05,2504.890753,1.4395765915634835,6.003422e-05,6.003422e-05,-5.1722,2.705e+05,-3.87891e-05,-3.42336045e-05,5.42723e-10,0.714849,0.039094,0.00054875
214704,9.581813999235855e-05,2504.890753,1.5024401981818543,6.460533e-05,6.460533e-05,-4.2512,2.705e+05,-4.17139e-05,-3.71532074e-05,6.37848e-10,0.67824,0.040439,0.0005668
223650,9.981056249203276e-05,2504.890753,1.565303804800225,6.924702e-05,6.924702e-05,-3.7374,2.705e+05,-4.4684e-05,-4.01198166e-05,7.44217e-10,0.641715,0.041568,0.00058279
232596,0.00010380298499170698,2504.890753,1.6281674114185958,7.394583e-05,7.394583e-05,-3.1053,2.705e+05,-4.76906e-05,-4.31218825e-05,8.62504e-10,0.605281,0.042468,0.00059601
241542,0.0001077954074913812,2504.890753,1.6910310180369665,7.868815e-05,7.868815e-05,-2.2787,2.705e+05,-5.07253e-05,-4.61559213e-05,9.93364e-10,0.568941,0.04313,0.0006054
250488,0.00011178782999105541,2504.890753,1.7538946246553373,8.346022e-05,8.346022e-05,-1.3978,2.705e+05,-5.37795e-05,-4.92096065e-05,1.13744e-09,0.532702,0.043546,0.00061065
259434,0.00011578025249072962,2504.890753,1.816758231273708,8.824825e-05,8.824825e-05,-0.77104,2.705e+05,-5.6844e-05,-5.22762554e-05,1.29534e-09,0.496568,0.04371,0.00061318
268380,0.00011977267499040384,2504.890753,1.8796218378920788,9.303838e-05,9.303838e-05,-0.061192,2.705e+05,-5.99099e-05,-5.5344004e-05,1.46767e-09,0.460544,0.043622,0.00061258
277326,0.00012376509749007807,2504.890753,1.9424854445104498,9.781675e-05,9.781675e-05,0.86103,2.7049e+05,-6.29684e-05,-5.84067362e-05,1.65498e-09,0.424637,0.043282,0.00060761
286272,0.00012775751998975228,2504.890753,2.0053490511288206,0.0001025695,0.0001025695,1.5855,2.7049e+05,-6.60111e-05,-6.14586898e-05,1.85781e-09,0.388851,0.042695,0.00059919
295218,0.0001317499424894265,2504.890753,2.0682126577471913,0.000107283,0.000107283,2.1521,2.7049e+05,-6.90293e-05,-6.44920838e-05,2.07665e-09,0.353191,0.041866,0.00058818
304164,0.0001357423649891007,2504.890753,2.131076264365562,0.0001119434,0.0001119434,2.822,2.7049e+05,-7.20144e-05,-6.74948799e-05,2.31195e-09,0.317663,0.040805,0.00057401
313110,0.00013973478748877493,2504.890753,2.193939870983933,0.0001165374,0.0001165374,3.6746,2.7049e+05,-7.49578e-05,-7.04608932e-05,2.56414e-09,0.282272,0.039526,0.00055607
322056,0.00014372720998844914,2504.890753,2.2568034776023036,0.0001210516,0.0001210516,4.3582,2.7049e+05,-7.78512e-05,-7.33835652e-05,2.83359e-09,0.247025,0.038043,0.00053533
331002,0.00014771963248812336,2504.890753,2.3196670842206744,0.000125473,0.000125473,4.8876,2.7049e+05,-8.06864e-05,-7.6251972e-05,3.12061e-09,0.211925,0.036372,0.00051268
339948,0.00015171205498779757,2504.890753,2.382530690839045,0.0001297889,0.0001297889,5.5912,2.7049e+05,-8.34543e-05,-7.90596523e-05,3.42549e-09,0.176981,0.034534,0.00048717
348894,0.0001557044774874718,2504.890753,2.445394297457416,0.0001339867,0.0001339867,6.3841,2.7049e+05,-8.61475e-05,-8.18023001e-05,3.74845e-09,0.142196,0.03255,0.00045906
357840,0.000159696899987146,2504.890753,2.5082579040757866,0.0001380543,0.0001380543,6.8563,2.7049e+05,-8.87574e-05,-8.4462129e-05,4.08966e-09,0.107577,0.030442,0.00042937
366786,0.00016368932248682022,2504.890753,2.5711215106941574,0.00014198,0.00014198,7.2354,2.7049e+05,-9.12767e-05,-8.70350656e-05,4.44923e-09,0.0731299,0.028234,0.00039892
375732,0.00016768174498649443,2504.890753,2.633985117312528,0.0001457524,0.0001457524,7.9722,2.7049e+05,-9.36977e-05,-8.9510623e-05,4.82723e-09,0.0388611,0.025954,0.0003669
384678,0.00017167416748616865,2504.890753,2.696848723930899,0.0001493607,0.0001493607,8.576,2.7049e+05,-9.60134e-05,-9.1885194e-05,5.22367e-09,0.00477675,0.023627,0.00033388
393624,0.00017566658998584286,2504.890753,2.7597123305492697,0.0001527944,0.0001527944,9.0462,2.7049e+05,-9.82176e-05,-9.41506107e-05,5.63849e-09,-0.0291169,0.021279,0.00030061
402570,0.00017965901248551708,2504.890753,2.8225759371676404,0.0001560435,0.0001560435,9.1752,2.7049e+05,-0.000100304,-9.62974688e-05,6.07158e-09,-0.0628133,0.018937,0.00026842
411516,0.0001836514349851913,2504.890753,2.885439543786011,0.0001590989,0.0001590989,9.9325,2.7049e+05,-0.000102265,-9.83208597e-05,6.52278e-09,-0.0963059,0.01663,0.00023554
420462,0.0001876438574848655,2504.890753,2.948303150404382,0.0001619516,0.0001619516,10.421,2.7049e+05,-0.000104096,-0.000100210503,6.99186e-09,-0.129588,0.014384,0.00020355
429408,0.00019163627998453972,2504.890753,3.0111667570227527,0.0001645934,0.0001645934,10.8,2.7049e+05,-0.000105791,-0.000101954544,7.47855e-09,-0.162652,0.012224,0.00017288
438354,0.00019562870248421394,2504.890753,3.0740303636411235,0.0001670168,0.0001670168,11.036,2.7049e+05,-0.000107346,-0.000103550302,7.98249e-09,-0.195492,0.010176,0.00014393
447300,0.00019962112498388815,2504.890753,3.1368939702594942,0.0001692148,0.0001692148,11.179,2.7049e+05,-0.000108755,-0.000104994401,8.50331e-09,-0.228101,0.0082617,0.00011705
456246,0.00020361354748356237,2504.890753,3.199757576877865,0.000171181,0.000171181,11.673,2.7049e+05,-0.000110015,-0.000106293077,9.04055e-09,-0.260471,0.0065052,9.2207e-05
465192,0.00020760596998323658,2504.890753,3.2626211834962358,0.0001729099,0.0001729099,12.067,2.7049e+05,-0.000111124,-0.00010743572,9.59373e-09,-0.292594,0.004926,7.0004e-05
474138,0.0002115983924829108,2504.890753,3.3254847901146065,0.0001743964,0.0001743964,12.243,2.7049e+05,-0.000112079,-0.000108427715,1.01623e-08,-0.324464,0.0035421,5.0786e-05
483084,0.000215590814982585,2504.890753,3.3883483967329773,0.0001756365,0.0001756365,12.444,2.7049e+05,-0.000112875,-0.000109259301,1.07456e-08,-0.356072,0.0023694,3.4255e-05
492030,0.00021958323748225923,2504.890753,3.451212003351348,0.0001766266,0.0001766266,12.986,2.7049e+05,-0.00011351,-0.000109917317,1.13431e-08,-0.387411,0.0014215,2.0521e-05
500976,0.00022357565998193344,2504.890753,3.514075609969719,0.0001773637,0.0001773637,12.796,2.7049e+05,-0.000113984,-0.000110418685,1.19541e-08,-0.418473,0.00070863,1.0486e-05
509922,0.00022756808248160766,2504.890753,3.5769392165880896,0.000177846,0.000177846,12.42,2.7049e+05,-0.000114294,-0.000110751998,1.25778e-08,-0.44925,0.00023894,3.9843e-06
518868,0.00023156050498128187,2504.890753,3.6398028232064603,0.000178072,0.000178072,12.852,2.7049e+05,-0.000114441,-0.000110924136,1.32136e-08,-0.479733,1.8129e-05,7.9224e-07
527814,0.0002355529274809561,2504.890753,3.702666429824831,0.0001780412,0.0001780412,14.201,2.7048e+05,-0.000114424,-0.000110934844,1.38605e-08,-0.509916,4.811e-05,1.1701e-06
