iter,time,freq,theta,wall_position, q1,wallF1,TopWallF1,ball_cg_corrected, ball_centroid,PLL_amp, PLL_phase,q1_ke,ball_ke
241542,0.0001077954074913812,2504.890753,1.6910310180369665,7.868883e-05,7.868883e-05,-2.2412,3.7021e+05,-5.09116e-05,-4.6466621e-05,9.93378e-10,0.568941,0.043129,0.0006055
250488,0.00011178782999105541,2504.890753,1.7538946246553373,8.346086e-05,8.346086e-05,-1.4231,3.702e+05,-5.39662e-05,-4.95182527e-05,1.13745e-09,0.532702,0.043545,0.00061119
259434,0.00011578025249072962,2504.890753,1.816758231273708,8.824885e-05,8.824885e-05,-0.65723,3.702e+05,-5.70309e-05,-5.2579871e-05,1.29536e-09,0.496568,0.04371,0.00061337
268380,0.00011977267499040384,2504.890753,1.8796218378920788,9.303895e-05,9.303895e-05,0.051529,3.702e+05,-6.00971e-05,-5.56448527e-05,1.46769e-09,0.460545,0.043621,0.00061208
277326,0.00012376509749007807,2504.890753,1.9424854445104498,9.781729e-05,9.781729e-05,0.80546,3.702e+05,-6.3156e-05,-5.8708508e-05,1.655e-09,0.424637,0.043282,0.00060734
286272,0.00012775751998975228,2504.890753,2.0053490511288206,0.00010257,0.00010257,1.548,3.702e+05,-6.61991e-05,-6.17616531e-05,1.85783e-09,0.388851,0.042694,0.00059922
295218,0.0001317499424894265,2504.890753,2.0682126577471913,0.0001072834,0.0001072834,2.231,3.702e+05,-6.92174e-05,-6.47957808e-05,2.07667e-09,0.353192,0.041865,0.00058772
304164,0.0001357423649891007,2504.890753,2.131076264365562,0.0001119438,0.0001119438,2.9518,3.702e+05,-7.22024e-05,-6.78056683e-05,2.31198e-09,0.317664,0.040805,0.00057312
313110,0.00013973478748877493,2504.890753,2.193939870983933,0.0001165378,0.0001165378,3.6796,3.702e+05,-7.51457e-05,-7.07799347e-05,2.56418e-09,0.282273,0.039526,0.00055555
322056,0.00014372720998844914,2504.890753,2.2568034776023036,0.000121052,0.000121052,4.3865,3.702e+05,-7.80387e-05,-7.37060311e-05,2.83362e-09,0.247026,0.038043,0.00053505
331002,0.00014771963248812336,2504.890753,2.3196670842206744,0.0001254735,0.0001254735,5.0018,3.702e+05,-8.08731e-05,-7.65770679e-05,3.12065e-09,0.211927,0.036373,0.00051204
339948,0.00015171205498779757,2504.890753,2.382530690839045,0.0001297894,0.0001297894,5.631,3.702e+05,-8.36403e-05,-7.93854218e-05,3.42553e-09,0.176982,0.034535,0.00048664
348894,0.0001557044774874718,2504.890753,2.445394297457416,0.0001339872,0.0001339872,6.2507,3.702e+05,-8.63324e-05,-8.21211088e-05,3.74849e-09,0.142197,0.03255,0.000459
357840,0.000159696899987146,2504.890753,2.5082579040757866,0.0001380549,0.0001380549,6.8246,3.702e+05,-8.89419e-05,-8.47765136e-05,4.0897e-09,0.107579,0.030442,0.00042974
366786,0.00016368932248682022,2504.890753,2.5711215106941574,0.0001419807,0.0001419807,7.5069,3.702e+05,-9.1461e-05,-8.73457115e-05,4.44928e-09,0.0731319,0.028236,0.00039856
375732,0.00016768174498649443,2504.890753,2.633985117312528,0.0001457531,0.0001457531,7.9858,3.702e+05,-9.38815e-05,-8.98162842e-05,4.82728e-09,0.0388633,0.025955,0.00036663
384678,0.00017167416748616865,2504.890753,2.696848723930899,0.0001493615,0.0001493615,8.5872,3.702e+05,-9.61962e-05,-9.21789666e-05,5.22372e-09,0.00477897,0.023628,0.00033365
393624,0.00017566658998584286,2504.890753,2.7597123305492697,0.0001527953,0.0001527953,8.9673,3.702e+05,-9.8399e-05,-9.44277142e-05,5.63854e-09,-0.0291146,0.02128,0.00030059
402570,0.00017965901248551708,2504.890753,2.8225759371676404,0.0001560446,0.0001560446,9.4509,3.702e+05,-0.000100482,-9.65514708e-05,6.07164e-09,-0.0628109,0.018939,0.00026732
411516,0.0001836514349851913,2504.890753,2.885439543786011,0.0001591001,0.0001591001,9.9525,3.702e+05,-0.000102442,-9.85468979e-05,6.52284e-09,-0.0963034,0.016632,0.00023479
420462,0.0001876438574848655,2504.890753,2.948303150404382,0.0001619529,0.0001619529,10.394,3.702e+05,-0.00010427,-0.000100404899,6.99193e-09,-0.129585,0.014385,0.00020226
429408,0.00019163627998453972,2504.890753,3.0111667570227527,0.0001645948,0.0001645948,10.437,3.702e+05,-0.000105962,-0.00010212683,7.47861e-09,-0.16265,0.012225,0.00017222
438354,0.00019562870248421394,2504.890753,3.0740303636411235,0.0001670182,0.0001670182,11.072,3.702e+05,-0.000107516,-0.000103719556,7.98256e-09,-0.19549,0.010176,0.00014361
447300,0.00019962112498388815,2504.890753,3.1368939702594942,0.0001692162,0.0001692162,11.381,3.702e+05,-0.000108925,-0.00010516725,8.50338e-09,-0.228098,0.0082624,0.00011692
456246,0.00020361354748356237,2504.890753,3.199757576877865,0.0001711825,0.0001711825,11.802,3.702e+05,-0.000110186,-0.000106464469,9.04063e-09,-0.260468,0.006506,9.2161e-05
465192,0.00020760596998323658,2504.890753,3.2626211834962358,0.0001729115,0.0001729115,12.053,3.702e+05,-0.000111294,-0.000107599542,9.59381e-09,-0.292592,0.0049267,7.005e-05
474138,0.0002115983924829108,2504.890753,3.3254847901146065,0.0001743983,0.0001743983,12.406,3.702e+05,-0.000112247,-0.000108579294,1.01624e-08,-0.324461,0.0035429,5.0543e-05
483084,0.000215590814982585,2504.890753,3.3883483967329773,0.0001756385,0.0001756385,12.678,3.702e+05,-0.000113042,-0.000109401399,1.07457e-08,-0.35607,0.0023702,3.395e-05
492030,0.00021958323748225923,2504.890753,3.451212003351348,0.0001766287,0.0001766287,12.711,3.702e+05,-0.000113677,-0.00011005685,1.13432e-08,-0.387409,0.0014219,2.062e-05
500976,0.00022357565998193344,2504.890753,3.514075609969719,0.0001773661,0.0001773661,12.992,3.7019e+05,-0.000114151,-0.000110554948,1.19542e-08,-0.418471,0.00070901,1.0505e-05
509922,0.00022756808248160766,2504.890753,3.5769392165880896,0.0001778487,0.0001778487,13.115,3.7019e+05,-0.000114461,-0.000110888546,1.25779e-08,-0.449248,0.0002394,3.8089e-06
518868,0.00023156050498128187,2504.890753,3.6398028232064603,0.000178075,0.000178075,13.128,3.7019e+05,-0.000114607,-0.000111061727,1.32137e-08,-0.479731,1.8279e-05,6.4896e-07
527814,0.0002355529274809561,2504.890753,3.702666429824831,0.0001780446,0.0001780446,13.823,3.7019e+05,-0.000114588,-0.000111069248,1.38606e-08,-0.509914,4.7931e-05,1.0386e-06
536760,0.0002395453499806303,2504.890753,3.765530036443202,0.0001777578,0.0001777578,14.341,3.7019e+05,-0.000114405,-0.000110912203,1.4518e-08,-0.539786,0.00032734,4.9604e-06
545706,0.00024353777248030452,2504.890753,3.8283936430615726,0.0001772156,0.0001772156,14.153,3.7019e+05,-0.000114059,-0.000110590579,1.5185e-08,-0.56934,0.00085311,1.2289e-05
554652,0.00024753019497997876,2504.890753,3.891257249679944,0.0001764197,0.0001764197,14.111,3.7019e+05,-0.00011355,-0.000110105334,1.58606e-08,-0.598568,0.0016189,2.2989e-05
563598,0.000251522617479653,2504.890753,3.9541208562983146,0.0001753723,0.0001753723,13.846,3.7019e+05,-0.000112881,-0.000109458589,1.65442e-08,-0.62746,0.0026157,3.6957e-05
572544,0.0002555150399793272,2504.890753,4.016984462916686,0.0001740766,0.0001740766,13.589,3.7019e+05,-0.000112053,-0.000108653273,1.72347e-08,-0.656009,0.003832,5.3984e-05
581490,0.0002595074624790014,2504.890753,4.079848069535061,0.0001725363,0.0001725363,13.37,3.7019e+05,-0.000111069,-0.000107690844,1.79313e-08,-0.684205,0.0052533,7.3806e-05
590436,0.0002634998849786756,2504.890753,4.142711676153437,0.000170756,0.000170756,13.053,3.7019e+05,-0.000109931,-0.000106579954,1.86331e-08,-0.71204,0.0068633,9.6233e-05
599382,0.00026749230747834984,2504.890753,4.205575282771812,0.0001687409,0.0001687409,12.781,3.702e+05,-0.000108644,-0.000105323567,1.93393e-08,-0.739506,0.0086428,0.00012121
